Experiment,Time,TR_u_IPTG,TR_u_ATC,READOUT_LACI,READOUT_TETR,STD_LACI,STD_TETR
2,565.05,0.25,75,2797.020918,201.1043022,27.97020918,2.011043022
2,570.05,0.25,75,2824.957753,198.022461,28.24957753,1.98022461
2,575.05,0.25,75,2841.069146,194.8576983,28.41069146,1.948576983
2,580.05,0.25,75,2880.373274,192.2043812,28.80373274,1.922043812
2,585.05,0.25,75,2867.176043,189.9366116,28.67176043,1.899366116
2,590.05,0.25,75,2912.278257,187.997468,29.12278257,1.87997468
2,595.05,0.25,75,2941.514401,182.7429179,29.41514401,1.827429179
2,600.05,0.25,75,2919.512456,182.4792819,29.19512456,1.824792819
2,605.05,0.25,75,2953.462321,182.6500682,29.53462321,1.826500682
2,610.05,0.25,75,2974.147865,182.8422557,29.74147865,1.828422557
2,615.05,0.25,75,2942.723514,177.4921178,29.42723514,1.774921178
2,620.05,0.25,75,2999.662611,171.9095294,29.99662611,1.719095294
2,625.05,0.25,75,2972.627499,176.4883511,29.72627499,1.764883511
2,630.05,0.25,75,3024.033519,173.3821644,30.24033519,1.733821644
2,635.05,0.25,75,2996.270385,172.2627123,29.96270385,1.722627123
2,640.05,0.25,75,3007.013326,172.0903966,30.07013326,1.720903966
2,645.05,0.25,75,3062.190173,168.8936707,30.62190173,1.688936707
2,650.05,0.25,75,3045.926055,169.4648107,30.45926055,1.694648107
2,655.05,0.25,75,3010.575742,169.8306091,30.10575742,1.698306091
2,660.05,0.25,75,3079.047109,167.2277014,30.79047109,1.672277014
2,665.05,0.25,75,2993.386596,168.0053376,29.93386596,1.680053376
2,670.05,0.25,75,3013.813999,164.7244515,30.13813999,1.647244515
2,675.05,0.25,75,2997.563854,161.315917,29.97563854,1.61315917
2,680.05,0.25,75,3062.951954,164.6942856,30.62951954,1.646942856
2,685.05,0.25,75,3095.051425,162.1748277,30.95051425,1.621748277
2,690.05,0.25,75,3081.383148,166.4312995,30.81383148,1.664312995
2,695.05,0.25,75,3031.320881,165.0217466,30.31320881,1.650217466
2,700.05,0.25,75,3061.610258,161.0705928,30.61610258,1.610705928
2,705.05,0.25,75,3045.569292,160.2930065,30.45569292,1.602930065
2,710.0666667,0.25,75,3068.566519,163.2354451,30.68566519,1.632354451
2,715.05,0.25,75,3114.209246,158.2641499,31.14209246,1.582641499
2,720.05,0.25,20,3067.621663,159.285952,30.67621663,1.59285952
2,725.05,0.25,20,3072.214456,156.6773413,30.72214456,1.566773413
2,730.05,0.25,20,3054.589634,160.1352969,30.54589634,1.601352969
2,735.05,0.25,20,3060.429039,158.319214,30.60429039,1.58319214
2,740.05,0.25,20,3137.829816,158.7608204,31.37829816,1.587608204
2,745.05,0.25,20,3133.855944,159.8808583,31.33855944,1.598808583
2,750.0833333,0.25,20,3104.41891,156.0995818,31.0441891,1.560995818
2,755.05,0.25,20,3033.109196,157.3330548,30.33109196,1.573330548
2,760.3333333,0.25,20,3023.073889,157.7553757,30.23073889,1.577553757
2,765.15,0.25,20,3151.673583,157.6099034,31.51673583,1.576099034
2,770.05,0.25,20,3095.830819,155.7109844,30.95830819,1.557109844
2,775.05,0.25,20,3119.78639,156.2507834,31.1978639,1.562507834
2,780.05,0.25,20,3050.778848,152.1203044,30.50778848,1.521203044
2,785.05,0.25,20,3104.613409,155.9708741,31.04613409,1.559708741
2,790.05,0.25,20,3026.473529,156.7466478,30.26473529,1.567466478
2,795.05,0.25,20,3087.96287,157.3735646,30.8796287,1.573735646
2,800.05,0.25,20,3171.62754,156.0965716,31.7162754,1.560965716
2,805.05,0.25,20,3066.284097,155.8402787,30.66284097,1.558402787
2,810.05,0.25,20,3168.934412,157.2938485,31.68934412,1.572938485
2,815.05,0.25,20,3135.281646,153.6246828,31.35281646,1.536246828
2,820.05,0.25,20,3042.346652,156.1381849,30.42346652,1.561381849
2,825.05,0.25,20,3078.056782,152.5395739,30.78056782,1.525395739
2,830.05,0.25,20,3100.390564,155.6258025,31.00390564,1.556258025
2,835.05,0.25,20,3114.383273,155.2471256,31.14383273,1.552471256
2,840.05,0.25,20,3073.349097,156.7941728,30.73349097,1.567941728
2,845.05,0.25,20,3130.428832,153.4596704,31.30428832,1.534596704
2,850.05,0.25,20,3111.37855,155.8737334,31.1137855,1.558737334
2,855.05,0.25,20,3129.03005,155.1114771,31.2903005,1.551114771
2,860.05,0.25,20,3096.898505,154.1679895,30.96898505,1.541679895
2,865.05,0.25,20,3120.515472,155.3981453,31.20515472,1.553981453
2,870.05,0.25,20,3113.663076,154.0430996,31.13663076,1.540430996
2,875.05,0.25,20,3126.53569,154.3209581,31.2653569,1.543209581
2,880.05,0.25,20,3122.550941,154.9175697,31.22550941,1.549175697
2,885.05,0.25,20,3145.768437,152.1234407,31.45768437,1.521234407
2,890.05,0.25,20,3117.670026,151.7960898,31.17670026,1.517960898
2,895.05,0.25,20,3061.669857,152.9897123,30.61669857,1.529897123
2,900.05,0.25,20,3077.301286,152.7275752,30.77301286,1.527275752
3,0,0.8,20,0.016096161,1609.823146,0.000160962,16.09823146
3,5.033333333,0.8,20,12.01225788,1578.66545,0.120122579,15.7866545
3,10.01666667,0.8,20,23.52480401,1582.269998,0.23524804,15.82269998
3,15.01666667,0.8,20,34.99266873,1584.682489,0.349926687,15.84682489
3,20.01666667,0.8,20,43.73321738,1581.247266,0.437332174,15.81247266
3,25.03333333,0.8,20,53.77377277,1587.808145,0.537737728,15.87808145
3,30.01666667,0.8,20,63.92917103,1539.454956,0.63929171,15.39454956
3,35.01666667,0.8,20,70.78205445,1563.227404,0.707820544,15.63227404
3,40.03333333,0.8,20,78.73417343,1538.414911,0.787341734,15.38414911
3,45.01666667,0.8,20,85.68725726,1518.883741,0.856872573,15.18883741
3,50.01666667,0.8,20,90.40415001,1537.802654,0.9040415,15.37802654
3,55.01666667,0.8,20,98.42353211,1483.107582,0.984235321,14.83107582
3,60.03333333,0.8,20,106.7132919,1497.006476,1.067132919,14.97006476
3,65.01666667,0.8,20,110.2772183,1503.124098,1.102772183,15.03124098
3,70.01666667,0.8,20,115.8935357,1464.163902,1.158935357,14.64163902
3,75.01666667,0.8,20,121.5718979,1444.247403,1.215718979,14.44247403
3,80.01666667,0.8,20,124.8273731,1422.822831,1.248273731,14.22822831
3,85.01666667,0.8,20,130.2149881,1419.424736,1.302149881,14.19424736
3,90.01666667,0.8,20,135.5413738,1409.795927,1.355413738,14.09795927
3,95.03333333,0.8,20,138.9088534,1410.241887,1.389088534,14.10241887
3,100.0333333,0.8,20,142.4022542,1367.63909,1.424022542,13.6763909
3,105.0333333,0.8,20,146.6314661,1388.972465,1.466314661,13.88972465
3,110.0166667,0.8,20,150.4018157,1359.547227,1.504018157,13.59547227
3,115.0166667,0.8,20,155.019198,1382.983206,1.55019198,13.82983206
3,120.0166667,0.8,20,159.8646104,1335.316192,1.598646104,13.35316192
3,125.0333333,0.8,20,159.5693765,1357.903617,1.595693765,13.57903617
3,130.0166667,0.8,20,164.2658601,1367.548788,1.642658601,13.67548788
